Wall time,Step,Value
1771417283.3158321,2048,-4455.2255859375
1771417289.2315922,4096,-3936.7802734375
1771417295.223207,6144,-3701.44287109375
1771417300.9221778,8192,-3668.360107421875
1771417306.3117251,10240,-4043.306396484375
1771417311.3514183,12288,-3904.61962890625
1771417316.7761087,14336,-3691.280029296875
1771417322.4650166,16384,-3837.87646484375
1771417326.728259,18432,-3350.508056640625
1771417331.3553445,20480,-3528.29638671875
1771417335.9185085,22528,-4027.25146484375
1771417341.8930156,24576,-4335.77587890625
1771417346.3785377,26624,-4592.607421875
1771417351.625684,28672,-4553.48779296875
1771417356.5356696,30720,-4384.12890625
1771417361.2240272,32768,-4294.9228515625
1771417365.6936765,34816,-4209.06396484375
1771417370.328029,36864,-4032.892333984375
1771417375.5248468,38912,-3867.0078125
1771417380.621946,40960,-3766.75732421875
1771417386.1838777,43008,-4302.216796875
1771417391.4488995,45056,-4135.54052734375
1771417397.2301674,47104,-4712.6494140625
1771417402.745313,49152,-6346.6875
1771417408.3302965,51200,-9004.3681640625
1771417413.9390786,53248,-9340.2412109375
1771417419.4325993,55296,-9094.8583984375
1771417425.1902692,57344,-8977.6279296875
1771417430.8390505,59392,-9121.4794921875
1771417436.1241112,61440,-9434.3134765625
1771417441.5742822,63488,-9148.443359375
1771417447.054153,65536,-8931.3876953125
1771417452.6880193,67584,-9255.0341796875
1771417458.1787195,69632,-10787.361328125
1771417463.7345912,71680,-12002.1923828125
1771417469.5585206,73728,-15990.830078125
1771417475.0425382,75776,-15971.3173828125
1771417480.5703514,77824,-16881.681640625
1771417486.0584242,79872,-17985.923828125
1771417491.610044,81920,-18829.140625
1771417496.9949412,83968,-22131.025390625
1771417502.6563556,86016,-24454.81640625
1771417508.0853176,88064,-24977.57421875
1771417513.654568,90112,-25295.96875
1771417519.1542516,92160,-25311.01953125
1771417524.6960955,94208,-25317.25390625
1771417530.4643726,96256,-25180.10546875
1771417536.040018,98304,-25963.826171875
1771417541.6850188,100352,-25843.189453125
1771417547.223282,102400,-26357.71875
1771417552.8621979,104448,-27526.703125
1771417558.6916437,106496,-27514.986328125
1771417564.7761106,108544,-27486.984375
1771417570.7731736,110592,-28824.802734375
1771417576.5032825,112640,-28788.69921875
1771417582.0381806,114688,-28988.259765625
1771417587.9279976,116736,-29052.41796875
1771417593.4844115,118784,-29082.349609375
1771417599.015061,120832,-29012.134765625
1771417604.9956353,122880,-28658.037109375
1771417610.8891428,124928,-28626.392578125
1771417616.9253814,126976,-28552.369140625
1771417623.164302,129024,-27399.27734375
1771417629.5641994,131072,-27814.220703125
1771417635.6040442,133120,-26696.689453125
1771417641.475714,135168,-27329.796875
1771417647.0731316,137216,-28566.1953125
1771417652.8446028,139264,-29395.75
1771417658.5598366,141312,-29094.46875
1771417664.1362352,143360,-30262.537109375
1771417669.9001892,145408,-30519.10546875
1771417675.699233,147456,-31994.646484375
1771417681.4372938,149504,-30929.078125
1771417687.2870824,151552,-30094.78515625
1771417693.1232781,153600,-26635.5390625
1771417698.9175267,155648,-26526.814453125
1771417704.6529925,157696,-25486.953125
1771417710.2080696,159744,-24067.97265625
1771417715.8019602,161792,-23168.337890625
1771417721.4652395,163840,-19755.451171875
1771417727.1747627,165888,-18409.333984375
1771417733.0478225,167936,-18279.3125
1771417738.434758,169984,-18452.064453125
1771417744.2026858,172032,-18957.21875
1771417749.8695369,174080,-18895.921875
1771417755.6691556,176128,-19736.763671875
1771417761.1861897,178176,-19034.1015625
1771417766.6735668,180224,-19184.09765625
1771417772.249701,182272,-18660.251953125
1771417777.9455576,184320,-17200.73046875
1771417783.5342162,186368,-17221.357421875
1771417789.266117,188416,-16967.2109375
1771417794.8508644,190464,-16594.9609375
1771417800.3968775,192512,-16596.275390625
1771417806.1129203,194560,-16384.048828125
1771417811.7048173,196608,-17745.171875
1771417817.4514768,198656,-18384.564453125
1771417823.1683116,200704,-21258.75390625
1771417828.7380552,202752,-21283.865234375
1771417834.787503,204800,-25138.13671875
1771417840.3173766,206848,-25969.341796875
1771417846.2727087,208896,-27615.47265625
1771417852.1455765,210944,-28375.328125
1771417857.702764,212992,-28047.267578125
1771417863.211463,215040,-27705.390625
1771417868.7767847,217088,-26642.466796875
1771417874.325585,219136,-26092.939453125
1771417879.9015958,221184,-25411.76171875
1771417885.4345596,223232,-24182.189453125
1771417891.2625268,225280,-24002.505859375
1771417896.8297691,227328,-21995.783203125
1771417902.4251738,229376,-21796.1171875
1771417908.0322437,231424,-20975.88671875
1771417913.6037579,233472,-20796.37890625
1771417919.2402403,235520,-20457.638671875
1771417924.840163,237568,-20146.21875
1771417930.831846,239616,-20121.9765625
1771417936.4702785,241664,-19898.427734375
