#{"t_start": 1771417279.5559034, "env_id": "None"}
r,l,t
-2285.894582,800,2.757851
-6624.556165,800,3.393773
-9678.854464,800,8.262471
-246.211807,800,8.89954
-848.38493,800,9.565886
-2532.673883,800,14.451564
-3693.524786,800,15.138997
-2210.540088,800,19.827786
-270.937044,800,20.469785
-8292.023579,800,21.163096
-6903.16399,800,25.527639
-4932.911,800,26.202728
-2723.593781,800,30.251788
-4200.887713,800,30.868787
-3125.137553,800,31.517811
-4403.179996,800,35.822497
220.716164,800,36.516176
-4389.367096,800,40.992719
-4718.7395,800,41.755037
-4897.665917,800,42.508939
531.100765,800,45.695654
365.1716,800,46.434581
-1200.425328,800,47.111026
-5119.813283,800,50.775365
-6025.914471,800,51.40249
-5821.405317,800,54.930156
-11025.046219,800,55.584396
-7709.176103,800,56.234669
-2299.945243,800,60.923311
-15010.290038,800,61.724626
-1317.609868,800,65.229843
-16564.909557,800,65.932845
-3600.242096,800,66.600196
-6315.256812,800,70.41544
-1500.775333,800,71.345438
-2430.577091,800,75.326432
-1474.446019,800,75.994869
-3319.79784,800,76.678767
-4806.650037,800,80.329891
-393.365383,800,80.992483
-1126.821638,800,84.44224
-2513.437176,800,85.115793
-5552.594834,800,85.771736
72.609649,800,89.289256
-4104.836948,800,89.974144
-491.060875,800,90.679968
409.128089,800,94.791299
-512.460732,800,95.491193
-4451.745873,800,99.46249
-769.600716,800,100.191605
-1266.896727,800,100.907388
-4889.189546,800,105.417825
-31023.678567,800,106.045043
-2789.674172,800,110.461352
50.608219,800,111.066238
-833.724372,800,111.669577
-37626.292069,800,116.432685
-4117.104016,800,117.078852
-5116.773171,800,121.490363
-106276.970129,800,122.195935
-2420.525372,800,122.876013
-1408.913983,800,127.37857
-157.879152,800,128.111618
-187564.839767,800,128.744809
-27663.609252,800,133.374927
-12512.721355,800,133.998245
-3895.919793,800,138.513305
-3862.882731,800,139.148169
-3330.503218,800,139.774284
-8673.655172,800,144.46303
-1192.717412,800,145.138177
-1430.663689,800,149.702266
347.210594,800,150.394704
-36494.447875,800,151.088368
-39884.042957,800,155.290182
-2134.308733,800,155.960813
-2930.500878,800,160.504061
-3032.527568,800,161.132336
243.867172,800,161.759415
-309.283068,800,166.275764
-406.134684,800,166.896174
-8112.357047,800,171.549277
-7847.246882,800,172.181324
-38020.886833,800,172.801801
-1328.410179,800,177.323874
-124554.448292,800,177.950546
-35194.647181,800,178.570818
-43769.776765,800,183.141198
-85924.932763,800,183.769604
-71735.014,800,188.600986
-228444.171871,800,189.237931
-102782.073646,800,189.878934
-19579.526069,800,194.392588
-10567.962324,800,195.019517
-6938.251772,800,199.576929
-78096.430471,800,200.198377
-51184.621185,800,200.81056
-78146.218885,800,205.311177
-64937.002415,800,205.93369
-38351.821402,800,210.485232
-53224.913233,800,211.126584
-19641.295908,800,211.770979
-307977.669534,800,216.164509
-32135.982214,800,216.801243
-40139.484221,800,221.4574
-183770.268874,800,222.112317
-15543.954432,800,222.741562
-53426.467634,800,227.209457
-8945.480013,800,227.824657
-677.22956,800,228.452401
-37437.249488,800,233.026248
-6238.39938,800,233.659192
-4347.122593,800,238.185285
232.090422,800,238.817068
-7439.539389,800,239.440064
-169.611033,800,243.99305
-4636.274008,800,244.622772
133.312997,800,249.317069
-369.704838,800,249.995192
-54.697856,800,250.663996
-51437.763613,800,255.226439
-26037.987829,800,255.882893
-382.429239,800,260.550521
-71.758916,800,261.191249
171.786358,800,261.814796
331.588948,800,266.360616
-54496.413005,800,266.99905
-21843.863792,800,267.639636
-125671.951321,800,272.232008
-8536.609709,800,272.897156
268.27294,800,277.649384
-147.669561,800,278.334969
-20431.679585,800,279.021712
-4995.331647,800,284.047688
-20.549945,800,284.733284
-132839.526421,800,289.670101
-3547.407746,800,290.358971
-4619.730688,800,291.031341
-861.394658,800,295.748825
-728.213853,800,296.401919
-28132.854092,800,300.931461
-375.876339,800,301.577683
-640.181155,800,302.226541
-8361.603056,800,307.086011
